Paper_ES	Paper_ID	Paper	Host_spp	Host_strain	Host_family	Symbiont_spp	Symbio_line	Symbio_type	Symbio_introgression	Temperature	Rearing	Nutrition	Competition	Uninfected_symbio_strain	Experiment	Sex	Stage	Measure	Group_measure	N_t	Prop_t	Alive_t	Dead_t	N_c	Prop_c	Alive_c	Dead_c	Obs
P1384	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	72	0.888888889	64	8	86	0.88372093	76	10	From_raw_data
P1385	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	89	0.91011236	81	8	87	0.873563218	76	11	From_raw_data
P1386	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	90	0.855555556	77	13	86	0.860465116	74	12	From_raw_data
P1404	P012	Xie_et_al_2014	Drosophila_melanogaster	2	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	74	0.972972973	72	2	83	0.975903614	81	2	From_raw_data
P1405	P012	Xie_et_al_2014	Drosophila_melanogaster	9	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	90	0.922222222	83	7	94	0.957446809	90	4	From_raw_data
P1406	P012	Xie_et_al_2014	Drosophila_melanogaster	14	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	83	0.903614458	75	8	68	0.852941176	58	10	From_raw_data
P1407	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	81	0.962962963	78	3	93	1	93	0	From_raw_data
P1408	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	72	0.902777778	65	7	86	0.88372093	76	10	From_raw_data
P1409	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	89	0.91011236	81	8	87	0.873563218	76	11	From_raw_data
P1410	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	90	0.966666667	87	3	86	0.965116279	83	3	From_raw_data
P1428	P012	Xie_et_al_2014	Drosophila_melanogaster	2	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	72	0.930555556	67	5	81	0.87654321	71	10	From_raw_data
P1429	P012	Xie_et_al_2014	Drosophila_melanogaster	9	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	83	1	83	0	90	0.922222222	83	7	From_raw_data
