Paper_ES	Paper_ID	Paper	Host_spp	Host_strain	Host_family	Symbiont_spp	Symbio_line	Symbio_type	Symbio_introgression	Natural_enemy_spp	NE_group	NE_line	NE_type	Temperature	Rearing	NE_infection	Uninfected_symbio_strain	Experiment	Sex	Stage	Measure	Group_measure	N_t	Mean_t	SD_t	N_c	Mean_c	SD_c	Obs
P0075	P069	Amuzu_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	NA	Flavivirus_OTU21	Virus	NA	NA	NA	Sucrose_solution	Natural	Natural	Lab	Female	Adult	Viral_load	NE_load	58	7.94E-08	6.60608E-08	35	5.26E-08	1.9846E-06	NA
P0076	P069	Amuzu_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	NA	Flavivirus_OTU25	Virus	NA	NA	NA	NA	Natural	Natural	Field	NA	Adult	Viral_load	NE_load	59	0.068	0.056576	56	2.62	98.8526	NA
P0077	P069	Amuzu_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	NA	Flavivirus_OTU25	Virus	NA	NA	NA	Sucrose_solution	Natural	Natural	Lab	Female	Adult	Viral_load	NE_load	58	0.000000148	1.23136E-07	35	0.000000735	2.77316E-05	NA
P0078	P069	Amuzu_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	NA	Flavivirus_OTU3	Virus	NA	NA	NA	NA	Natural	Natural	Lab	NA	Adult	Viral_load	NE_load	59	0.124	0.103168	56	0.014	0.52822	NA
P0079	P069	Amuzu_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	NA	Flavivirus_OTU3	Virus	NA	NA	NA	Sucrose_solution	Natural	Natural	Field	Female	Adult	Viral_load	NE_load	58	972	808.704	35	496	18714.08	NA
P0080	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	DENV-2	Virus	NA	Generalist	27	Sucrose_solution	Oral	Natural	Lab	Female	Adult	Viral_load	NE_load	19	0.000009053	7.5321E-06	17	0.06	2.2638	Abdomen
P0081	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAu	Not_natural	Microinjection	DENV-2	Virus	NA	Generalist	27	Sucrose_solution	Oral	Natural	Lab	Female	Adult	Viral_load	NE_load	18	0.00000559	4.65088E-06	17	0.06	2.2638	Abdomen
P0082	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	DENV-2	Virus	NA	Generalist	27	Sucrose_solution	Oral	Natural	Lab	Female	Adult	Viral_load	NE_load	19	0.008	0.006656	17	0.06	2.2638	Abdomen
P0083	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	NA	Not_natural	Microinjection	SFV	Virus	NA	Generalist	27	Sucrose_solution	Microinjection	Natural	Lab	Female	Adult	Viral_load	NE_load	20	6.67	5.54944	20	10.5	396.165	whole_body
P0084	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	SFV	Virus	NA	Generalist	27	Sucrose_solution	Microinjection	Natural	Lab	Female	Adult	Viral_load	NE_load	20	0.033	0.027456	20	10.5	396.165	whole_body
P0085	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAu	Not_natural	Microinjection	SFV	Virus	NA	Generalist	27	Sucrose_solution	Microinjection	Natural	Lab	Female	Adult	Viral_load	NE_load	20	0.0001	0.0000832	20	10.5	396.165	whole_body
P0086	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	SFV	Virus	NA	Generalist	27	Sucrose_solution	Microinjection	Natural	Lab	Female	Adult	Viral_load	NE_load	20	0.018	0.014976	20	10.5	396.165	whole_body
P0087	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	ZIKV	Virus	NA	Generalist	27	Sucrose_solution	Oral	Natural	Lab	Female	Adult	Viral_load	NE_load	22	0.0000148	1.23136E-05	18	0.0000624	0.002354352	Abdomen
P0088	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAu	Not_natural	Microinjection	ZIKV	Virus	NA	Generalist	27	Sucrose_solution	Oral	Natural	Lab	Female	Adult	Viral_load	NE_load	20	0	0	18	0.0000624	0.002354352	Abdomen
P0089	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	ZIKV	Virus	NA	Generalist	27	Sucrose_solution	Oral	Natural	Lab	Female	Adult	Viral_load	NE_load	16	0.0000431	3.58592E-05	18	0.0000624	0.002354352	Abdomen
P0090	P196	Bian_et_al_2013_A	Aedes_polynesiensis	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	DENV-2	Virus	NA	Generalist	27	Sucrose_solution	Microinjection	Natural	Lab	Female	Adult	Viral_load	NE_load	10	14700000	12230400	10	372000000	14035560000	NA
P0091	P196	Bian_et_al_2013_A	Aedes_polynesiensis	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	DENV-2	Virus	NA	Generalist	27	Sucrose_solution	Oral	Natural	Lab	Female	Adult	Viral_load	NE_load	10	36.37	30.25984	10	487338	18387262.74	NA
P0092	P026	Blagrove_et_al_2012	Aedes_albopictus	NA	Culicidae	Wolbachia	wAlbA_wAlbB	Not_natural	Backcrossing	DENV-2	Virus	NA	Generalist	27	Sucrose_solution	Oral	Antibiotic	Lab	Female	Adult	Viral_load	NE_load	44	97	80.704	26	83	3131.59	NA
P0093	P026	Blagrove_et_al_2012	Aedes_albopictus	NA	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	DENV-2	Virus	NA	Generalist	28	Sucrose_solution	Oral	Antibiotic	Lab	Female	Adult	Viral_load	NE_load	44	0	0	26	83	3131.59	NA
P0094	P204	Cattel_et_al_2016	Drosophila_suzukii	CJ124	Drosophilidae	Wolbachia	wSuz	Natural	Natural	DCV	Virus	NA	Generalist	22	Cornmeal	Stab	Antibiotic	Lab	Female	Adult	Viral_load	NE_load	9	0.266831335	1.511519928	10	0.377095019	1.531557997	Author_sent_the_data
P0095	P204	Cattel_et_al_2016	Drosophila_suzukii	CJ125	Drosophilidae	Wolbachia	wSuz	Natural	Backcrossing	DCV	Virus	NA	Generalist	22	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	9	0.816259623	1.181811547	10	1.330529041	1.25353302	Author_sent_the_data
P0096	P047	Fraser_et_al_2017	Aedes_aegypti	PGYP1	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	DENV-3	Virus	NA	Generalist	26	Sucrose_solution	Oral	Antibiotic	Lab	Female	Adult	Viral_load	NE_load	250	3.03E+04	236681.0153	83	34293092.17	51167633.71	Body-raw-data
P0097	P047	Fraser_et_al_2017	Aedes_aegypti	PGYP1	Culicidae	Wolbachia	wMelCS	Not_natural	Microinjection	DENV-3	Virus	NA	Generalist	26	Sucrose_solution	Oral	Antibiotic	Lab	Female	Adult	Viral_load	NE_load	240	1.55E+07	59279061.88	76	4.71E+07	60334296.46	Body-raw-data
P0098	P047	Fraser_et_al_2017	Aedes_aegypti	PGYP1	Culicidae	Wolbachia	wRi	Not_natural	Microinjection	DENV-3	Virus	NA	Generalist	26	Sucrose_solution	Oral	Antibiotic	Lab	Female	Adult	Viral_load	NE_load	169	76059130.53	112006012.4	107	127265449.7	211209466	Body-raw-data
P0099	P070	Hedges_et_al_2008	Drosophila_melanogaster	ORC	Drosophilidae	Wolbachia	NA	Natural	NA	DCV	Virus	NA	Generalist	25	Cornmeal	Microinjection	Antibiotic	Lab	Male	Adult	Viral_load	NE_load	4	1458.04	366.154	4	0	0	day7_pi
P0100	P084	Hussain_et_al_2013	Aedes_aegypti	MGYP2OUT	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	West_Nile_Virus	Virus	NA	Generalist	27	Sucrose_solution	Microinjection	Antibiotic	Lab	Female	Adult	Viral_load	NE_load	20	3084000	2238132	20	14300000	6556357	10_dpi
P0101	P084	Hussain_et_al_2013	Aedes_aegypti	PGYP1OUT	Culicidae	Wolbachia	wMelPop	Not_natural	Microinjection	West_Nile_Virus	Virus	NA	Generalist	27	Sucrose_solution	Microinjection	Antibiotic	Lab	Female	Adult	Viral_load	NE_load	20	8553	13523	20	2268000	843308	10_dpi
P0102	P075	Joubert_et_al_2016	Aedes_aegypti	NA	Culicidae	Wolbachia	wMelPop	Not_natural	Microinjection	DENV-2	Virus	NA	Generalist	26	Sucrose_solution	Microinjection	Natural	Lab	Female	Adult	Viral_load	NE_load	8	1.10E+05	1.51E+05	44	2.62E+08	8.04E+11	tcid50_10^4
P0103	P075	Joubert_et_al_2016	Aedes_aegypti	NA	Culicidae	Wolbachia	wMelwAlbB	Not_natural	Microinjection	DENV-2	Virus	NA	Generalist	26	Sucrose_solution	Microinjection	Natural	Lab	Female	Adult	Viral_load	NE_load	44	2.97E+07	9.12E+07	44	2.62E+08	8.04E+11	tcid50_10^4
P0104	P075	Joubert_et_al_2016	Aedes_aegypti	NA	Culicidae	Wolbachia	wMelwAlbB	Not_natural	Microinjection	DENV-2	Virus	NA	Generalist	26	Sucrose_solution	Oral	Natural	Lab	Female	Adult	Viral_load	NE_load	11	2.20E+04	1.68E+01	44	320823	316127.4085	tcid50_10^7
P0105	P075	Joubert_et_al_2016	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	DENV-2	Virus	NA	Generalist	26	Sucrose_solution	Microinjection	Natural	Lab	Female	Adult	Viral_load	NE_load	44	4.90E+07	4.42E+07	44	2.62E+08	8.04E+11	tcid50_10^4
P0106	P075	Joubert_et_al_2016	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	DENV-2	Virus	NA	Generalist	26	Sucrose_solution	Oral	Natural	Lab	Female	Adult	Viral_load	NE_load	44	31897.7	37105.73483	44	320823	316127.4085	tcid50_10^7
P0107	P075	Joubert_et_al_2016	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	DENV-2	Virus	NA	Generalist	26	Sucrose_solution	Microinjection	Natural	Lab	Female	Adult	Viral_load	NE_load	44	5.08E+07	1.03E+08	44	2.62E+08	8.04E+11	tcid50_10^4
P0108	P075	Joubert_et_al_2016	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	DENV-2	Virus	NA	Generalist	26	Sucrose_solution	Oral	Natural	Lab	Female	Adult	Viral_load	NE_load	44	25914	44645.60853	44	320823	316127.4085	tcid50_10^7
P0109	P054	Martinez_et_al_2014_A	Drosophila_simulans	STCP	Drosophilidae	Wolbachia	wAna	Not_natural	Microinjection	DCV	Virus	NA	Generalist	25	Cornmeal	Stab	Natural	Lab	Female	Adult	Viral_load	NE_load	10	84368.28039	37983.26337	20	146037.8863	58399.0642	From_raw_data
